date,timestamp,share_size,execution_price,remaining_shares,transaction_cost,action
2023-09-20,2023-09-20 13:30:00+00:00,2,179.69,998,6.278519904094595e-06,2
2023-09-20,2023-09-20 13:31:00+00:00,35,179.31,963,2.6264933147772528e-05,35
2023-09-20,2023-09-20 13:32:00+00:00,35,178.99,928,2.6264933147772528e-05,35
2023-09-20,2023-09-20 13:33:00+00:00,10,178.88,918,1.4039197303640975e-05,10
2023-09-20,2023-09-20 13:34:00+00:00,7,178.82,911,1.174603518858138e-05,7
2023-09-20,2023-09-20 13:35:00+00:00,10,178.9,901,1.4039197303640975e-05,10
2023-09-20,2023-09-20 13:36:00+00:00,10,178.87,891,1.4039197303640975e-05,10
2023-09-20,2023-09-20 13:37:00+00:00,31,178.79,860,2.471855758099036e-05,31
2023-09-20,2023-09-20 13:38:00+00:00,79,178.7,781,3.945988572400361e-05,79
2023-09-20,2023-09-20 13:39:00+00:00,86,178.66,695,4.11710082947068e-05,86
2023-09-20,2023-09-20 13:40:00+00:00,10,178.8,685,1.4039197303640975e-05,10
2023-09-20,2023-09-20 13:41:00+00:00,89,178.83,596,4.188295169018039e-05,89
2023-09-20,2023-09-20 13:42:00+00:00,56,178.81,540,3.3222804535606804e-05,56
2023-09-20,2023-09-20 13:43:00+00:00,7,178.51,533,1.174603518858138e-05,7
2023-09-20,2023-09-20 13:44:00+00:00,33,178.53,500,2.5503468412567888e-05,33
2023-09-20,2023-09-20 13:45:00+00:00,46,178.45,454,3.0110723675803213e-05,46
2023-09-20,2023-09-20 13:46:00+00:00,89,178.51,365,4.188295169018039e-05,89
2023-09-20,2023-09-20 13:47:00+00:00,12,178.44,353,1.5379170104939733e-05,12
2023-09-20,2023-09-20 13:48:00+00:00,33,178.34,320,2.5503468412567888e-05,33
2023-09-20,2023-09-20 13:49:00+00:00,48,178.18,272,3.0758340209879466e-05,48
2023-09-20,2023-09-20 13:50:00+00:00,77,178.22,195,3.895719149483587e-05,77
2023-09-20,2023-09-20 13:51:00+00:00,10,178.16,185,1.4039197303640975e-05,10
2023-09-20,2023-09-20 13:52:00+00:00,73,178.2,112,3.7931822323651786e-05,73
2023-09-20,2023-09-20 13:53:00+00:00,46,178.16,66,3.0110723675803213e-05,46
2023-09-20,2023-09-20 13:54:00+00:00,35,178.33,31,2.6264933147772528e-05,35
2023-09-20,2023-09-20 13:55:00+00:00,31,178.46,0,2.471855758099036e-05,33
2023-09-25,2023-09-25 13:30:00+00:00,46,175.13,954,3.0110723675803213e-05,46
2023-09-25,2023-09-25 13:31:00+00:00,63,174.97,891,3.523810556574414e-05,63
2023-09-25,2023-09-25 13:32:00+00:00,73,174.74,818,3.7931822323651786e-05,73
2023-09-25,2023-09-25 13:33:00+00:00,45,174.7,773,2.978163484746128e-05,45
2023-09-25,2023-09-25 13:34:00+00:00,33,174.54,740,2.5503468412567888e-05,33
2023-09-25,2023-09-25 13:35:00+00:00,56,174.62,684,3.3222804535606804e-05,56
2023-09-25,2023-09-25 13:36:00+00:00,56,174.74,628,3.3222804535606804e-05,56
2023-09-25,2023-09-25 13:37:00+00:00,77,174.73,551,3.895719149483587e-05,77
2023-09-25,2023-09-25 13:38:00+00:00,66,174.82,485,3.606735091660734e-05,66
2023-09-25,2023-09-25 13:39:00+00:00,10,174.67,475,1.4039197303640975e-05,10
2023-09-25,2023-09-25 13:40:00+00:00,89,174.9,386,4.188295169018039e-05,89
2023-09-25,2023-09-25 13:41:00+00:00,89,174.87,297,4.188295169018039e-05,89
2023-09-25,2023-09-25 13:42:00+00:00,10,174.9,287,1.4039197303640975e-05,10
2023-09-25,2023-09-25 13:43:00+00:00,37,174.94,250,2.700493520531149e-05,37
2023-09-25,2023-09-25 13:44:00+00:00,10,174.78,240,1.4039197303640975e-05,10
2023-09-25,2023-09-25 13:45:00+00:00,20,174.67,220,1.9854423231640855e-05,20
2023-09-25,2023-09-25 13:46:00+00:00,50,174.71,170,3.139259952047298e-05,50
2023-09-25,2023-09-25 13:47:00+00:00,13,174.79,157,1.600714775372952e-05,13
2023-09-25,2023-09-25 13:48:00+00:00,49,174.84,108,3.1077088e-05,49
2023-09-25,2023-09-25 13:49:00+00:00,40,174.8,68,2.807839460728195e-05,40
2023-09-25,2023-09-25 13:50:00+00:00,13,174.94,55,1.600714775372952e-05,13
2023-09-25,2023-09-25 13:51:00+00:00,55,174.93,0,3.292483614413411e-05,71
2023-09-26,2023-09-26 13:30:00+00:00,46,175.04,954,3.0110723675803213e-05,46
2023-09-26,2023-09-26 13:31:00+00:00,77,174.78,877,3.895719149483587e-05,77
2023-09-26,2023-09-26 13:32:00+00:00,33,174.59,844,2.5503468412567888e-05,33
2023-09-26,2023-09-26 13:33:00+00:00,79,174.63,765,3.945988572400361e-05,79
2023-09-26,2023-09-26 13:34:00+00:00,71,174.69,694,3.74085997145974e-05,71
2023-09-26,2023-09-26 13:35:00+00:00,10,174.6,684,1.4039197303640975e-05,10
2023-09-26,2023-09-26 13:36:00+00:00,45,174.61,639,2.978163484746128e-05,45
2023-09-26,2023-09-26 13:37:00+00:00,31,174.46,608,2.471855758099036e-05,31
